                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1437,                 2.8002,                 1.1013,                0.09019,                0.02669,                0.01008,                 0.0056,                 2.3956,                 34.219,                0.80385,               0.070297,              0.0033003,              0.0033003
                      1,                 2.1237,                 2.7942,                  1.091,                0.01724,                0.01936,                0.00981,                0.00522,                 2.1316,                 15.125,                0.83435,               0.070297,              0.0033003,              0.0033003
                      2,                 2.0604,                 2.0135,                 1.0663,                0.07005,                0.01519,                0.04007,                0.02374,                 2.0069,                 13.033,                0.76089,               0.040295,               0.006632,               0.006632
                      3,                 1.9992,                 1.8574,                 1.0432,                0.27073,                 0.0312,                0.03861,                0.02373,                 1.8006,                 3.5301,                0.70089,               0.010287,              0.0099573,              0.0099573
                      4,                 1.9518,                 1.7304,                 1.0297,                0.15398,                 0.0453,                 0.0428,                0.02497,                 1.9861,                  3.734,                0.70653,               0.009978,               0.009978,               0.009978
                      5,                 1.8927,                 1.6501,                 1.0217,                0.06431,                0.03218,                0.04557,                 0.0289,                 1.9704,                 3.8438,                0.74461,               0.009961,               0.009961,               0.009961
                      6,                 1.8275,                 1.5303,                 1.0014,                0.09275,                0.04057,                0.06934,                0.04621,                 1.7145,                 2.9404,                0.67009,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.7372,                 1.4317,                0.99147,                0.11631,                0.03628,                0.05057,                0.03302,                 1.7117,                 2.9545,                0.67623,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.8028,                 1.4561,                0.99377,                0.24969,                0.03603,                0.06127,                0.04126,                 1.6052,                 2.8645,                0.65741,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.7044,                 1.3552,                0.97617,                0.18692,                0.03494,                0.06456,                0.04296,                 1.5826,                 2.7372,                0.64906,              0.0098445,              0.0098445,              0.0098445
                      1,                 2.1437,                 2.8002,                 1.1013,                0.09001,                 0.0279,                0.01007,                0.00561,                 2.3956,                 33.436,                0.80385,               0.070297,              0.0033003,              0.0033003
